descricao,de_m,para_m,well_id
Fm Guará Sup,104.7382507,113.3015747,priv_66
Fm Guará Inf,113.3015747,144.4710388,priv_66
Fm Piramboia Sup,144.4710388,200.0,priv_66
Fm Serra Geral,0.0,75.95825195,priv_67
Fm Botucatu,75.95825195,114.0,priv_67
Fm Serra Geral,0.0,87.40386963,priv_69
Fm Botucatu,87.40386963,120.0,priv_69
Fm Botucatu,0.0,89.6,priv_70
Fm Serra Geral,0.0,42.95666504,priv_71
Fm Botucatu,42.95666504,119.6031494,priv_71
Fm Guará Inf,119.6031494,140.0,priv_71
Fm Botucatu,0.0,98.4833374,priv_72
Fm Guará Sup,98.4833374,102.0,priv_72
Fm Serra Geral,0.0,44.52606201,priv_73
Fm Botucatu,44.52606201,100.0,priv_73
Fm Serra Geral,0.0,10.76171875,priv_74
Fm Botucatu,10.76171875,81.09002686,priv_74
Fm Guará Sup,81.09002686,100.0,priv_74
Fm Serra Geral,0.0,120.0,priv_75
Fm Serra Geral,0.0,54.76196289,priv_76
Fm Botucatu,54.76196289,172.4443054,priv_76
Fm Guará Sup,172.4443054,179.9741211,priv_76
Fm Guará Inf,179.9741211,182.0,priv_76
Fm Serra Geral,0.0,126.0224304,priv_77
Fm Botucatu,126.0224304,166.9692383,priv_77
Fm Guará Sup,166.9692383,190.6300964,priv_77
Fm Guará Inf,190.6300964,192.0,priv_77
Fm Serra Geral,0.0,79.07141113,priv_78
Fm Botucatu,79.07141113,195.0983582,priv_78
Fm Guará Sup,195.0983582,224.663269,priv_78
Fm Guará Inf,224.663269,230.0,priv_78
Fm Serra Geral,0.0,70.46841431,priv_79
Fm Botucatu,70.46841431,147.6459351,priv_79
Fm Guará Inf,147.6459351,159.7038879,priv_79
Fm Piramboia Sup,159.7038879,200.0,priv_79
Fm Serra Geral,0.0,115.4478149,priv_80
Fm Botucatu,115.4478149,182.1934814,priv_80
Fm Guará Sup,182.1934814,214.5463562,priv_80
Fm Guará Inf,214.5463562,236.6592712,priv_80
Fm Piramboia Sup,236.6592712,305.6589966,priv_80
Fm Piramboia Inf,305.6589966,350.0,priv_80
Fm Serra Geral,0.0,135.5185547,priv_81
Fm Botucatu,135.5185547,229.2557373,priv_81
Fm Guará Sup,229.2557373,250.0,priv_81
Fm Botucatu,0.0,36.82,priv_82
Fm Botucatu,0.0,65.0,priv_83
Fm Serra Geral,0.0,214.2362366,priv_84
Fm Botucatu,214.2362366,250.0,priv_84
Fm Serra Geral,0.0,4.247253418,priv_85
Fm Botucatu,4.247253418,30.71008301,priv_85
Fm Guará Sup,30.71008301,47.57922363,priv_85
Fm Guará Inf,47.57922363,87.1913147,priv_85
Fm Piramboia Sup,87.1913147,140.0,priv_85
Fm Serra Geral,0.0,45.12304688,priv_86
Fm Botucatu,45.12304688,50.0,priv_86
Fm Serra Geral,0.0,5.539672852,priv_87
Fm Botucatu,5.539672852,100.0,priv_87
Fm Serra Geral,0.0,68.65234375,priv_88
Fm Botucatu,68.65234375,130.0,priv_88
Fm Serra Geral,0.0,1.027954102,priv_89
Fm Botucatu,1.027954102,76.74938965,priv_89
Fm Guará Sup,76.74938965,100.0,priv_89
Fm Serra Geral,0.0,42.02593994,priv_90
Fm Botucatu,42.02593994,120.0,priv_90
Fm Serra Geral,0.0,68.98928833,priv_91
Fm Botucatu,68.98928833,100.0,priv_91
Fm Serra Geral,0.0,110.1027832,priv_92
Fm Botucatu,110.1027832,180.0,priv_92
Fm Serra Geral,0.0,100.3013306,priv_93
Fm Botucatu,100.3013306,180.0,priv_93
Fm Serra Geral,0.0,31.67218018,priv_94
Fm Botucatu,31.67218018,130.0,priv_94
Fm Serra Geral,0.0,100.0,priv_96
Fm Serra Geral,0.0,93.22033691,priv_97
Fm Botucatu,93.22033691,185.3671265,priv_97
Fm Guará Sup,185.3671265,213.829895,priv_97
Fm Guará Inf,213.829895,240.4687805,priv_97
Fm Piramboia Sup,240.4687805,270.0,priv_97
Fm Serra Geral,0.0,256.5560608,priv_98
Fm Botucatu,256.5560608,350.0,priv_98
Fm Serra Geral,0.0,214.2362366,priv_100
Fm Botucatu,214.2362366,250.0,priv_100
Fm Serra Geral,0.0,148.3800659,priv_101
Fm Botucatu,148.3800659,200.0,priv_101
Fm Serra Geral,0.0,65.08959961,priv_102
Fm Botucatu,65.08959961,147.38,priv_102
Fm Serra Geral,0.0,7.848083496,priv_103
Fm Botucatu,7.848083496,124.3529358,priv_103
Fm Guará Inf,124.3529358,170.1683655,priv_103
Fm Piramboia Sup,170.1683655,205.29,priv_103
Fm Botucatu,0.0,90.0,priv_104
Fm Serra Geral,0.0,69.46841431,priv_105
Fm Botucatu,69.46841431,100.0,priv_105
Fm Serra Geral,0.0,1.615246654,priv_106
Fm Botucatu,1.615246654,86.0,priv_106
Fm Serra Geral,0.0,73.70648193,priv_107
Fm Botucatu,73.70648193,155.0,priv_107
Fm Serra Geral,0.0,75.09490967,priv_108
Fm Botucatu,75.09490967,134.044281,priv_108
Fm Guará Sup,134.044281,162.7966919,priv_108
Fm Guará Inf,162.7966919,165.0,priv_108
Fm Serra Geral,0.0,78.01721191,priv_109
Fm Botucatu,78.01721191,152.5732422,priv_109
Fm Guará Sup,152.5732422,170.0,priv_109
Fm Serra Geral,0.0,60.0,priv_110
Fm Serra Geral,0.0,109.8597107,priv_111
Fm Botucatu,109.8597107,130.0,priv_111
Fm Serra Geral,0.0,2.132568359,priv_112
Fm Botucatu,2.132568359,102.0,priv_112
Fm Serra Geral,0.0,98.08294678,priv_113
Fm Botucatu,98.08294678,221.2137756,priv_113
Fm Guará Sup,221.2137756,250.0,priv_113
Fm Botucatu,0.0,66.44546509,priv_114
Fm Guará Sup,66.44546509,80.0,priv_114
Fm Serra Geral,0.0,98.42791748,priv_115
Fm Botucatu,98.42791748,181.6699829,priv_115
Fm Guará Sup,181.6699829,211.0059814,priv_115
Fm Guará Inf,211.0059814,233.131012,priv_115
Fm Piramboia Sup,233.131012,287.289978,priv_115
Fm Piramboia Inf,287.289978,290.0,priv_115
Fm Serra Geral,0.0,7.530334473,priv_117
Fm Botucatu,7.530334473,79.67102051,priv_117
Fm Guará Sup,79.67102051,84.0,priv_117
Fm Serra Geral,0.0,70.0,priv_118
Fm Serra Geral,0.0,75.82440186,priv_119
Fm Botucatu,75.82440186,120.0,priv_119
Fm Serra Geral,0.0,100.0,priv_120
Fm Serra Geral,0.0,44.99505615,priv_121
Fm Botucatu,44.99505615,115.0,priv_121
Fm Serra Geral,0.0,77.57229614,priv_122
Fm Botucatu,77.57229614,186.2677917,priv_122
Fm Guará Sup,186.2677917,207.4398193,priv_122
Fm Guará Inf,207.4398193,218.0,priv_122
Fm Serra Geral,0.0,79.04016113,priv_124
Fm Botucatu,79.04016113,95.0,priv_124
Fm Botucatu,0.0,74.12005615,priv_125
Fm Guará Inf,74.12005615,94.01303101,priv_125
Fm Piramboia Sup,94.01303101,100.0,priv_125
Fm Botucatu,0.0,69.0223999,priv_126
Fm Guará Inf,69.0223999,78.39880371,priv_126
Fm Piramboia Sup,78.39880371,100.0,priv_126
Fm Botucatu,0.0,166.7301941,priv_127
Fm Piramboia Sup,166.7301941,180.0,priv_127
Fm Serra Geral,0.0,6.128723145,priv_128
Fm Botucatu,6.128723145,136.2329102,priv_128
Fm Piramboia Sup,136.2329102,202.0,priv_128
Fm Serra Geral,0.0,63.49609375,priv_131
Fm Botucatu,63.49609375,156.1455383,priv_131
Fm Guará Inf,156.1455383,164.2996826,priv_131
Fm Piramboia Sup,164.2996826,200.0,priv_131
Fm Serra Geral,0.0,53.97341919,priv_132
Fm Botucatu,53.97341919,148.8980713,priv_132
Fm Guará Inf,148.8980713,157.7960205,priv_132
Fm Piramboia Sup,157.7960205,200.0,priv_132
Fm Serra Geral,0.0,122.4754944,priv_133
Fm Botucatu,122.4754944,180.0,priv_133
Fm Serra Geral,0.0,60.0,priv_134
Fm Serra Geral,0.0,5.327758789,priv_135
Fm Botucatu,5.327758789,75.0,priv_135
Fm Serra Geral,0.0,0.939059436,priv_136
Fm Botucatu,0.939059436,85.0,priv_136
Fm Botucatu,0.0,75.0,priv_137
Fm Serra Geral,0.0,120.0,priv_138
Fm Botucatu,0.0,63.97924805,priv_139
Fm Guará Inf,63.97924805,93.85897827,priv_139
Fm Piramboia Sup,93.85897827,100.0,priv_139
Fm Serra Geral,0.0,58.15866089,priv_140
Fm Botucatu,58.15866089,162.0065308,priv_140
Fm Guará Inf,162.0065308,163.1102905,priv_140
Fm Piramboia Sup,163.1102905,206.4522095,priv_140
Fm Piramboia Inf,206.4522095,236.2115479,priv_140
Diabásio,236.2115479,242.8141479,priv_140
Fm Piramboia Inf,242.8141479,385.1474457,priv_140
Fm Corumbataí,385.1474457,463.8006821,priv_140
Fm Serra Geral,0.0,80.96228027,priv_141
Fm Botucatu,80.96228027,198.9724426,priv_141
Fm Guará Sup,198.9724426,200.0,priv_141
Fm Serra Geral,0.0,40.41555786,priv_142
Fm Botucatu,40.41555786,140.3406067,priv_142
Fm Guará Sup,140.3406067,156.0402222,priv_142
Fm Guará Inf,156.0402222,185.8259583,priv_142
Fm Piramboia Sup,185.8259583,228.0,priv_142
Fm Serra Geral,0.0,47.20202637,priv_143
Fm Botucatu,47.20202637,146.8338623,priv_143
Fm Guará Sup,146.8338623,161.8725586,priv_143
Fm Guará Inf,161.8725586,192.3892517,priv_143
Fm Piramboia Sup,192.3892517,236.2352905,priv_143
Fm Piramboia Inf,236.2352905,252.0,priv_143
Fm Serra Geral,0.0,47.91815186,priv_144
Fm Botucatu,47.91815186,147.7315979,priv_144
Fm Guará Sup,147.7315979,164.5060425,priv_144
Fm Guará Inf,164.5060425,194.4908447,priv_144
Fm Piramboia Sup,194.4908447,235.7748413,priv_144
Fm Piramboia Inf,235.7748413,250.05,priv_144
Fm Botucatu,0.0,70.36151123,priv_145
Fm Guará Sup,70.36151123,97.1930542,priv_145
Fm Guará Inf,97.1930542,110.0,priv_145
Fm Serra Geral,0.0,104.5806274,priv_146
Fm Botucatu,104.5806274,180.0,priv_146
Fm Serra Geral,0.0,38.55075073,priv_147
Fm Botucatu,38.55075073,151.9091187,priv_147
Fm Guará Sup,151.9091187,160.0,priv_147
Fm Botucatu,0.0,82.34307861,priv_148
Fm Guará Sup,82.34307861,107.9008179,priv_148
Fm Guará Inf,107.9008179,140.0,priv_148
Fm Serra Geral,0.0,222.1089478,priv_149
Fm Botucatu,222.1089478,300.0,priv_149
Fm Botucatu,0.0,74.16955566,priv_150
Fm Guará Sup,74.16955566,80.42303467,priv_150
Fm Guará Inf,80.42303467,105.0,priv_150
Fm Serra Geral,0.0,72.13748169,priv_151
Fm Botucatu,72.13748169,146.9633179,priv_151
Fm Guará Inf,146.9633179,150.0,priv_151
Fm Botucatu,0.0,78.44125366,priv_152
Fm Guará Sup,78.44125366,106.8360596,priv_152
Fm Guará Inf,106.8360596,153.1873474,priv_152
Fm Piramboia Sup,153.1873474,202.0,priv_152
Fm Serra Geral,0.0,36.86590576,priv_153
Fm Botucatu,36.86590576,121.0,priv_153
Fm Botucatu,0.0,90.0,priv_154
Fm Serra Geral,0.0,200.2728271,priv_155
Fm Botucatu,200.2728271,236.0,priv_155
Fm Serra Geral,0.0,69.33810425,priv_156
Fm Botucatu,69.33810425,161.7059326,priv_156
Fm Guará Inf,161.7059326,166.1026001,priv_156
Fm Piramboia Sup,166.1026001,214.0079041,priv_156
Fm Piramboia Inf,214.0079041,220.0,priv_156
Fm Serra Geral,0.0,70.61947632,priv_157
Fm Botucatu,70.61947632,90.0,priv_157
Fm Serra Geral,0.0,7.829162598,priv_158
Fm Botucatu,7.829162598,65.0,priv_158
Fm Serra Geral,0.0,41.66516113,priv_159
Fm Botucatu,41.66516113,120.0,priv_159
Fm Serra Geral,0.0,50.75726318,priv_160
Fm Botucatu,50.75726318,118.0,priv_160
Fm Botucatu,0.0,93.57321167,priv_161
Fm Piramboia Sup,93.57321167,100.0,priv_161
Fm Botucatu,0.0,86.66125488,priv_162
Fm Piramboia Sup,86.66125488,100.0,priv_162
Fm Botucatu,0.0,88.90557861,priv_163
Fm Piramboia Sup,88.90557861,100.0,priv_163
Fm Botucatu,0.0,150.0,priv_164
Fm Serra Geral,0.0,40.0,priv_165
Fm Serra Geral,0.0,76.5279541,priv_166
Fm Botucatu,76.5279541,162.1913452,priv_166
Fm Guará Sup,162.1913452,164.0,priv_166
Fm Serra Geral,0.0,59.30963135,priv_167
Fm Botucatu,59.30963135,128.0,priv_167
Fm Serra Geral,0.0,95.94338989,priv_169
Fm Botucatu,95.94338989,179.2251892,priv_169
Fm Guará Sup,179.2251892,207.9156189,priv_169
Fm Guará Inf,207.9156189,215.0,priv_169
Fm Botucatu,0.0,80.27941895,priv_170
Fm Guará Sup,80.27941895,84.0,priv_170
Fm Serra Geral,0.0,96.35690308,priv_171
Fm Botucatu,96.35690308,188.1152649,priv_171
Fm Guará Sup,188.1152649,206.0,priv_171
Fm Serra Geral,0.0,85.66033936,priv_172
Fm Botucatu,85.66033936,183.2773743,priv_172
Fm Guará Sup,183.2773743,200.0,priv_172
Fm Serra Geral,0.0,87.67471313,priv_173
Fm Botucatu,87.67471313,150.0,priv_173
Fm Botucatu,0.0,100.0,priv_174
Fm Botucatu,0.0,66.0,priv_175
Fm Serra Geral,0.0,102.8769531,priv_176
Fm Botucatu,102.8769531,211.8329163,priv_176
Fm Guará Sup,211.8329163,237.4505615,priv_176
Fm Guará Inf,237.4505615,250.0,priv_176
Fm Serra Geral,0.0,17.27960205,priv_178
Fm Botucatu,17.27960205,89.75262451,priv_178
Fm Guará Sup,89.75262451,117.7132568,priv_178
Fm Guará Inf,117.7132568,163.3830872,priv_178
Fm Piramboia Sup,163.3830872,200.0,priv_178
Fm Serra Geral,0.0,100.0,priv_179
Fm Serra Geral,0.0,48.71563721,priv_181
Fm Botucatu,48.71563721,168.0907593,priv_181
Fm Guará Sup,168.0907593,177.9165955,priv_181
Fm Guará Inf,177.9165955,205.3497009,priv_181
Fm Piramboia Sup,205.3497009,250.0,priv_181
Fm Serra Geral,0.0,139.8785095,priv_182
Fm Botucatu,139.8785095,235.0788879,priv_182
Fm Guará Sup,235.0788879,250.0,priv_182
Fm Serra Geral,0.0,40.77307129,priv_183
Fm Botucatu,40.77307129,120.0,priv_183
Fm Serra Geral,0.0,100.0,priv_184
Fm Serra Geral,0.0,75.05612183,priv_185
Fm Botucatu,75.05612183,90.0,priv_185
Fm Serra Geral,0.0,68.76394653,priv_186
Fm Botucatu,68.76394653,150.0,priv_186
Fm Botucatu,0.0,72.0,priv_187
Fm Serra Geral,0.0,25.43255615,priv_188
Fm Botucatu,25.43255615,100.0,priv_188
Fm Serra Geral,0.0,161.6599731,priv_189
Fm Botucatu,161.6599731,250.524292,priv_189
Fm Guará Sup,250.524292,260.0,priv_189
Fm Botucatu,0.0,77.04244995,priv_190
Fm Guará Sup,77.04244995,100.7889404,priv_190
Fm Guará Inf,100.7889404,120.0,priv_190
Fm Serra Geral,0.0,43.22039795,priv_191
Fm Botucatu,43.22039795,69.2371521,priv_191
Fm Guará Sup,69.2371521,82.13095093,priv_191
Fm Guará Inf,82.13095093,124.0452881,priv_191
Fm Piramboia Sup,124.0452881,180.0,priv_191
Fm Serra Geral,0.0,19.94671631,priv_192
Fm Botucatu,19.94671631,94.48291016,priv_192
Fm Guará Sup,94.48291016,122.5485535,priv_192
Fm Guará Inf,122.5485535,168.493866,priv_192
Fm Piramboia Sup,168.493866,180.0,priv_192
Fm Serra Geral,0.0,80.51745605,priv_193
Fm Botucatu,80.51745605,150.0,priv_193
Fm Serra Geral,0.0,170.3569031,priv_194
Fm Botucatu,170.3569031,200.0,priv_194
Fm Serra Geral,0.0,201.9826965,priv_195
Fm Botucatu,201.9826965,276.9608459,priv_195
Fm Guará Sup,276.9608459,306.0,priv_195
Fm Serra Geral,0.0,140.0,priv_196
Fm Serra Geral,0.0,194.7460327,priv_197
Fm Botucatu,194.7460327,230.0,priv_197
Fm Serra Geral,0.0,140.0,priv_198
Fm Serra Geral,0.0,168.0,priv_199
Fm Serra Geral,0.0,124.4977112,priv_200
Fm Botucatu,124.4977112,140.0,priv_200
Fm Serra Geral,0.0,56.35955811,priv_201
Fm Botucatu,56.35955811,156.0064392,priv_201
Fm Guará Sup,156.0064392,173.1083679,priv_201
Fm Guará Inf,173.1083679,203.1628113,priv_201
Fm Piramboia Sup,203.1628113,230.0,priv_201
Fm Serra Geral,0.0,21.0,priv_202
Fm Serra Geral,0.0,99.13262939,priv_203
Fm Botucatu,99.13262939,180.7644348,priv_203
Fm Guará Sup,180.7644348,211.0795593,priv_203
Fm Guará Inf,211.0795593,232.2674561,priv_203
Fm Piramboia Sup,232.2674561,260.0,priv_203
Fm Serra Geral,0.0,2.6,priv_204
Fm Serra Geral,0.0,10.0,priv_205
Fm Serra Geral,0.0,51.10253906,priv_207
Fm Botucatu,51.10253906,77.56472778,priv_207
Fm Guará Sup,77.56472778,91.15039063,priv_207
Fm Guará Inf,91.15039063,133.4327393,priv_207
Fm Piramboia Sup,133.4327393,202.0,priv_207
Fm Serra Geral,0.0,49.72399902,priv_209
Fm Botucatu,49.72399902,75.60272217,priv_209
Fm Guará Sup,75.60272217,88.5703125,priv_209
Fm Guará Inf,88.5703125,130.7688599,priv_209
Fm Piramboia Sup,130.7688599,200.0,priv_209
Fm Botucatu,0.0,79.92980957,priv_210
Fm Guará Sup,79.92980957,97.70983887,priv_210
Fm Guará Inf,97.70983887,136.7562561,priv_210
Fm Piramboia Sup,136.7562561,203.7685852,priv_210
Fm Piramboia Inf,203.7685852,235.0,priv_210
Fm Serra Geral,0.0,60.54931641,priv_211
Fm Botucatu,60.54931641,87.37078857,priv_211
Fm Guará Sup,87.37078857,106.761261,priv_211
Fm Guará Inf,106.761261,120.0,priv_211
Fm Serra Geral,0.0,111.1196289,priv_212
Fm Guará Sup,111.1196289,114.9046326,priv_212
Fm Guará Inf,114.9046326,150.0,priv_212
Fm Serra Geral,0.0,91.56033325,priv_213
Fm Guará Sup,91.56033325,111.7686462,priv_213
Fm Guará Inf,111.7686462,120.0,priv_213
Fm Serra Geral,0.0,23.29888916,priv_214
Fm Botucatu,23.29888916,136.6867065,priv_214
Fm Guará Sup,136.6867065,160.0,priv_214
Fm Serra Geral,0.0,69.46841431,priv_215
Fm Botucatu,69.46841431,146.6459351,priv_215
Fm Guará Inf,146.6459351,158.7038879,priv_215
Fm Piramboia Sup,158.7038879,200.0,priv_215
Fm Serra Geral,0.0,150.0,priv_216
Fm Serra Geral,0.0,58.0,priv_217
Fm Serra Geral,0.0,122.5797119,priv_219
Fm Botucatu,122.5797119,192.0,priv_219
Fm Serra Geral,0.0,27.05157471,priv_220
Fm Botucatu,27.05157471,120.0,priv_220
Fm Botucatu,0.0,90.0,priv_221
Fm Serra Geral,0.0,120.7891846,priv_222
Fm Botucatu,120.7891846,252.3825378,priv_222
Fm Guará Sup,252.3825378,283.2232666,priv_222
Fm Guará Inf,283.2232666,300.0,priv_222
Fm Serra Geral,0.0,61.5413208,priv_223
Fm Botucatu,61.5413208,167.0357666,priv_223
Fm Guará Sup,167.0357666,170.0,priv_223
Fm Botucatu,0.0,45.0,priv_224
Fm Botucatu,0.0,88.3371582,priv_225
Fm Guará Sup,88.3371582,108.9602051,priv_225
Fm Guará Inf,108.9602051,120.0,priv_225
Fm Serra Geral,0.0,108.0653992,priv_226
Fm Botucatu,108.0653992,145.0,priv_226
Fm Serra Geral,0.0,88.37918091,priv_227
Fm Botucatu,88.37918091,145.0,priv_227
Fm Serra Geral,0.0,93.92422485,priv_228
Fm Botucatu,93.92422485,188.0,priv_228
Fm Serra Geral,0.0,24.30047607,priv_229
Fm Botucatu,24.30047607,190.2706299,priv_229
Fm Piramboia Sup,190.2706299,196.2887573,priv_229
Diabásio,196.2887573,197.2941895,priv_229
Fm Piramboia Inf,197.2941895,222.0,priv_229
Fm Serra Geral,0.0,130.0,priv_230
Fm Serra Geral,0.0,147.2932739,priv_231
Fm Botucatu,147.2932739,150.0,priv_231
Fm Serra Geral,0.0,50.53982544,priv_232
Fm Botucatu,50.53982544,118.0,priv_232
Fm Serra Geral,0.0,129.3842468,priv_233
Fm Botucatu,129.3842468,165.0,priv_233
Fm Serra Geral,0.0,137.1468506,priv_234
